epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.07894659564197064,0.21023146666288375,0.07894659564197064,0.029936074890243778,0.11862762680478917,0.029936074890243778
1,0.02983236499428749,0.12555827753543855,0.02983236499428749,0.015641347683111952,0.08213117751915744,0.015641347683111952
2,0.02038262596577406,0.10402922978401184,0.02038262596577406,0.011505020574731812,0.07026935950111432,0.011505020574731812
3,0.01666188382357359,0.09337726900577545,0.01666188382357359,0.008354110757458457,0.05598860032334449,0.008354110757458457
4,0.014264364399015904,0.08608033602237701,0.014264364399015904,0.0068673779846874965,0.05276556327274651,0.0068673779846874965
5,0.012842342230677605,0.08123551552295685,0.012842342230677605,0.005281257601810773,0.043260309916393014,0.005281257601810773
6,0.011669327636063098,0.07744004733562469,0.011669327636063098,0.004705430537901202,0.03995192556339464,0.004705430537901202
7,0.010818293441087007,0.07433364927768707,0.010818293441087007,0.003520339994341325,0.0326751623373882,0.003520339994341325
8,0.0100166800878942,0.07114571123123169,0.0100166800878942,0.0033350248982726483,0.03397297351413472,0.0033350248982726483
9,0.009543756893277168,0.06920167527794838,0.009543756893277168,0.0036617754802855244,0.03956154873891241,0.0036617754802855244
10,0.009252016934752465,0.0676946492254734,0.009252016934752465,0.0033609273540935697,0.036712293981746504,0.0033609273540935697
11,0.008890306639671325,0.0661514240026474,0.008890306639671325,0.0026566616057827593,0.028576756180946235,0.0026566616057827593
12,0.008691317021101713,0.06525854597091675,0.008691317021101713,0.0023795382570546524,0.023781547690652736,0.0023795382570546524
13,0.008368283891677857,0.06379148236513138,0.008368283891677857,0.002812833825547462,0.03097375389781727,0.002812833825547462
14,0.00822049317061901,0.06317132104039193,0.00822049317061901,0.002423880138333626,0.026561112896462156,0.002423880138333626
15,0.008008627930283547,0.06224859029054642,0.008008627930283547,0.0022590852755560854,0.024227849403574208,0.0022590852755560854
16,0.007883831737190485,0.06161490961313248,0.007883831737190485,0.0025824546171826827,0.026104003594369644,0.0025824546171826827
17,0.007819272217154503,0.06113527157306671,0.007819272217154503,0.0020766910714257484,0.022064660658027715,0.0020766910714257484
18,0.007659399385750294,0.06042884558439255,0.007659399385750294,0.0020020202452548227,0.023830277750351625,0.0020020202452548227
19,0.0075021255478262905,0.05993940575122833,0.0075021255478262905,0.0019638884855600392,0.023516386142297157,0.0019638884855600392
20,0.007408419401198626,0.05956985222697258,0.007408419401198626,0.0024605048887111295,0.022499601623624754,0.0024605048887111295
21,0.007275972697138786,0.05888638234138489,0.007275972697138786,0.0016688409327769616,0.01925574858809353,0.0016688409327769616
22,0.007200036866962909,0.05880493422746658,0.007200036866962909,0.0019349546824614548,0.019445522866288947,0.0019349546824614548
23,0.007063181902468204,0.0583594576716423,0.007063181902468204,0.0016896758687528217,0.019109798452941477,0.0016896758687528217
24,0.006971797896176577,0.0578901373565197,0.006971797896176577,0.0015614416856603447,0.020744513601634155,0.0015614416856603447
25,0.006882956601679325,0.05769188710451126,0.006882956601679325,0.0016430478871527134,0.023309793062270826,0.0016430478871527134
26,0.006814537357538938,0.05746823452115059,0.006814537357538938,0.001454871441504568,0.022788556446884847,0.001454871441504568
27,0.006680938993766904,0.05718157288432121,0.006680938993766904,0.0012018927795646392,0.01890799526576024,0.0012018927795646392
28,0.006659345949441195,0.05697169740796089,0.006659345949441195,0.0009811128451485947,0.02021891952367725,0.0009811128451485947
29,0.006489722827076912,0.05663931176662445,0.006489722827076912,0.0006838299836043957,0.01549077633720864,0.0006838299836043957
30,0.006328899865597487,0.05620141192674637,0.006328899865597487,0.001337779060400619,0.020938559227688298,0.001337779060400619
31,0.006265546683967113,0.05589580390453339,0.006265546683967113,0.0006062946550008265,0.016135063028307098,0.0006062946550008265
32,0.006159339099004865,0.055795221573114395,0.006159339099004865,0.0006810126634860399,0.01767436598848765,0.0006810126634860399
33,0.00611503106802702,0.05573750710487366,0.00611503106802702,0.0008607590736029373,0.017724788955347553,0.0008607590736029373
34,0.006224435046315193,0.05560387663245201,0.006224435046315193,0.00041624302935050977,0.013502138399869013,0.00041624302935050977
35,0.006041004695370793,0.05529789488315582,0.006041004695370793,0.0004947083843886781,0.01641933163212743,0.0004947083843886781
36,0.006058731560409069,0.055446904027462,0.006058731560409069,0.0009144664957828725,0.01783609596098874,0.0009144664957828725
37,0.006052153490111232,0.05520534692406654,0.006052153490111232,0.0009051760627849585,0.01786980404856668,0.0009051760627849585
38,0.005933952971547842,0.05484742364287377,0.005933952971547842,0.0004693801452889208,0.015842078307014743,0.0004693801452889208
39,0.005978167174011469,0.05493063135743141,0.005978167174011469,0.0005947738054659289,0.018637311093177004,0.0005947738054659289
40,0.005687017174065113,0.05417461268901825,0.005687017174065113,0.0008104542549477095,0.018548661753962373,0.0008104542549477095
41,0.005495559351146221,0.05372129492163658,0.005495559351146221,0.00033715967653218397,0.013901511895333885,0.00033715967653218397
42,0.005488231137767434,0.053482229965925214,0.005488231137767434,0.00031646355600274245,0.01319310117133294,0.00031646355600274245
43,0.005399975138902664,0.05343270628452301,0.005399975138902664,0.001042604873977916,0.012768019803437837,0.001042604873977916
44,0.0055763160552829505,0.05363038371801376,0.0055763160552829505,0.00027997960773249196,0.011409492825104553,0.00027997960773249196
45,0.005392020829766989,0.05331616850495338,0.005392020829766989,0.0002877370660693035,0.011821638383445847,0.0002877370660693035
46,0.005488285114616156,0.053605291014909746,0.005488285114616156,0.0003278523893577527,0.012872278292894742,0.0003278523893577527
47,0.005481894301623106,0.053435070955753325,0.005481894301623106,0.0005860005844247996,0.013193549950174086,0.0005860005844247996
48,0.005535106256604195,0.05348526184558868,0.005535106256604195,0.00034758716096484644,0.013335106769802084,0.00034758716096484644
49,0.005495030782371759,0.05369683390259743,0.005495030782371759,0.0004975796165723342,0.013647352659683318,0.0004975796165723342
50,0.005520219001919031,0.053596324956417085,0.005520219001919031,0.0003570598582766808,0.01393427970303092,0.0003570598582766808
51,0.005290554119274021,0.05279668231010437,0.005290554119274021,0.0002907678985613796,0.012469349138343789,0.0002907678985613796
52,0.005239366281032562,0.05266188046336174,0.005239366281032562,0.0003129320563399974,0.01335004965068808,0.0003129320563399974
53,0.005310657361149788,0.052930286848545074,0.005310657361149788,0.00019222523202002938,0.009769322160797515,0.00019222523202002938
54,0.005288392877951264,0.05274431915283203,0.005288392877951264,0.0002862088529431635,0.012428280820322645,0.0002862088529431635
55,0.00528103190921247,0.05269869323968887,0.00528103190921247,0.0002882609626383574,0.012578007237167116,0.0002882609626383574
56,0.005322550352662801,0.05300367622971535,0.005322550352662801,0.0003050400959483532,0.013077731629845444,0.0003050400959483532
57,0.005216289484873414,0.05259435425400734,0.005216289484873414,0.00030197393835765447,0.012885317022491034,0.00030197393835765447
58,0.005363210804015398,0.052915822631120685,0.005363210804015398,0.0002166101020155771,0.010515686634714437,0.0002166101020155771
59,0.005310404168069363,0.05292767456769943,0.005310404168069363,0.0002512061341137738,0.011659719026202608,0.0002512061341137738
60,0.005221536267921329,0.052509688460826875,0.005221536267921329,0.0002636064831456644,0.011977476067841053,0.0002636064831456644
61,0.005208598005399108,0.052449535393714906,0.005208598005399108,0.00030605195938820126,0.012763907735467336,0.00030605195938820126
62,0.005268596744537353,0.052712945657968524,0.005268596744537353,0.00023846719362090823,0.011460977375127707,0.00023846719362090823
63,0.0051935557290911675,0.052416578263044356,0.0051935557290911675,0.00024804537489292493,0.011601343039114764,0.00024804537489292493
