epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.13392072916030884,0.28470006585121155,0.13392072916030884,0.1994623988866806,0.34544992446899414,0.1994623988866806
1,0.062331750988960266,0.18623971939086914,0.062331750988960266,0.06029527261853218,0.17671892046928406,0.06029527261853218
2,0.042256101965904236,0.15258179605007172,0.042256101965904236,0.06304294615983963,0.198198139667511,0.06304294615983963
3,0.03637902811169624,0.1419582962989807,0.03637902811169624,0.07623963057994843,0.21766528487205505,0.07623963057994843
4,0.03179953619837761,0.13264209032058716,0.03179953619837761,0.05249469727277756,0.17233122885227203,0.05249469727277756
5,0.02765120379626751,0.12413406372070312,0.02765120379626751,0.050346747040748596,0.16134275496006012,0.050346747040748596
6,0.025232020765542984,0.11761929839849472,0.025232020765542984,0.06678929924964905,0.1752472221851349,0.06678929924964905
7,0.02305123396217823,0.11281312257051468,0.02305123396217823,0.06230020150542259,0.17662616074085236,0.06230020150542259
8,0.020721035078167915,0.10500304400920868,0.020721035078167915,0.04975627735257149,0.16341626644134521,0.04975627735257149
9,0.018968965858221054,0.10028571635484695,0.018968965858221054,0.05046479403972626,0.16624443233013153,0.05046479403972626
10,0.018958041444420815,0.10023507475852966,0.018958041444420815,0.05511581525206566,0.17709828913211823,0.05511581525206566
11,0.016749408096075058,0.09356065094470978,0.016749408096075058,0.05178801715373993,0.15739257633686066,0.05178801715373993
12,0.015029069036245346,0.08796881884336472,0.015029069036245346,0.05271980166435242,0.17788587510585785,0.05271980166435242
13,0.015381090342998505,0.0894690603017807,0.015381090342998505,0.04944230988621712,0.16802763938903809,0.04944230988621712
14,0.015600590966641903,0.08992121368646622,0.015600590966641903,0.04625357314944267,0.1600133776664734,0.04625357314944267
15,0.014103559777140617,0.08496536314487457,0.014103559777140617,0.05188586935400963,0.16023565828800201,0.05188586935400963
16,0.013461588881909847,0.08309032022953033,0.013461588881909847,0.04908575117588043,0.1612691730260849,0.04908575117588043
17,0.013199884444475174,0.08185028284788132,0.013199884444475174,0.049221668392419815,0.1618064045906067,0.049221668392419815
18,0.012844969518482685,0.08061408251523972,0.012844969518482685,0.04323665052652359,0.14036501944065094,0.04323665052652359
19,0.013653361238539219,0.08362822234630585,0.013653361238539219,0.03799375519156456,0.13786032795906067,0.03799375519156456
20,0.011843881569802761,0.07685721665620804,0.011843881569802761,0.046882349997758865,0.16195623576641083,0.046882349997758865
21,0.011557490564882755,0.07530882209539413,0.011557490564882755,0.04481768608093262,0.14679783582687378,0.04481768608093262
22,0.011226871982216835,0.07420212775468826,0.011226871982216835,0.045052703469991684,0.15113084018230438,0.045052703469991684
23,0.010499659925699234,0.07145091146230698,0.010499659925699234,0.052190423011779785,0.1616443246603012,0.052190423011779785
24,0.010676995851099491,0.07222200185060501,0.010676995851099491,0.04675832390785217,0.15933577716350555,0.04675832390785217
25,0.010475587099790573,0.07120459526777267,0.010475587099790573,0.06131868436932564,0.18448272347450256,0.06131868436932564
26,0.010821057483553886,0.07270654290914536,0.010821057483553886,0.04035472497344017,0.141082301735878,0.04035472497344017
27,0.00998619757592678,0.06937924772500992,0.00998619757592678,0.04198094457387924,0.1469259411096573,0.04198094457387924
28,0.0101141557097435,0.07017162442207336,0.0101141557097435,0.04677610099315643,0.16746452450752258,0.04677610099315643
