epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.13645689776025882,0.18005623558092787,0.05938712503164537,0.07628460609506632,0.10737874289763343,0.02043541341183658
1,0.07897480848383781,0.11800463704658559,0.025304119930869656,0.045771852925095495,0.06640726292904846,0.009520213162624634
2,0.05536754088984779,0.0967208445989891,0.01727664954928333,0.029676475472543453,0.05180093184122037,0.005536643213342837
3,0.04285378828249921,0.08720032927860027,0.014275392363316387,0.022771846024022956,0.04195847616606698,0.003955342478099101
4,0.036094050913669254,0.08181534882766132,0.012579750570977351,0.018787590568385942,0.03955364902797161,0.003398502364961104
5,0.032159383548783796,0.07856051155678934,0.01182961665619185,0.016588662437911125,0.04038591226317492,0.003270338649553741
6,0.029054758375053315,0.0761118871091823,0.011135281074087318,0.014397177049668265,0.033700409043422405,0.0024348036574097383
7,0.02685761725595656,0.07435452767982076,0.01069078058848999,0.012827283509965358,0.035127531762692524,0.002481374427351358
8,0.025040319404185708,0.07295722348134794,0.010429903299891075,0.012143612073847483,0.03241076144599969,0.0021940921191904877
9,0.023248475928401638,0.07096555390038008,0.009903879205404696,0.009918981383902417,0.025461774203128354,0.001576334755887189
10,0.02215759558973989,0.0699860083349572,0.00968556450561182,0.009453635065648855,0.029103303876495307,0.00177341162646216
11,0.021224731130435298,0.06930356900642813,0.00953859152210718,0.008522483325250796,0.02600217121359887,0.001476759192866368
12,0.02048867007019065,0.06839938794612987,0.009338463452285563,0.007656018023794135,0.023380731056441145,0.0012938104855482876
13,0.019537004773310017,0.06754493514469107,0.0091745263676257,0.007992132336438931,0.029239604840607714,0.0016899958816580987
14,0.018845002676739935,0.067022677882332,0.00902476390727415,0.007204367246858579,0.022253490803082646,0.0011839255458744133
15,0.018373068225330188,0.06691048755511893,0.009001181155122525,0.0069347681943193835,0.02411607025833406,0.0012790996194998482
16,0.017942188746493018,0.06657695914537304,0.008943966866550372,0.007288636506363357,0.02812625041161104,0.0015890296018335175
17,0.017516039856780238,0.06574600362369647,0.008781980830787614,0.005889658998649456,0.021488873681687202,0.0011358975950814677
18,0.01699424848967293,0.06555530480534666,0.008705533660268792,0.005829376610540566,0.025821466018090544,0.001320172523881521
19,0.0165392055907971,0.0649535736574361,0.008582108209429314,0.005523427373693375,0.025277485518384497,0.001285510068568097
20,0.016364500887768807,0.06529251297077351,0.008688521744362984,0.006089930773250234,0.023135545649667102,0.0012066411680567537
21,0.01606114641799285,0.06455577385033724,0.008440531752507389,0.005196282032552898,0.02195711241755528,0.0011006707929257188
22,0.015564522262586884,0.0643351011008101,0.008434357139410915,0.004873783391380826,0.022045746682486992,0.0010882333329548571
23,0.015493060269162797,0.06411879886591615,0.008408161653964736,0.00469353621102014,0.02199065887538838,0.0011011344985556357
24,0.015364877877752151,0.06428067122200043,0.008451222562474159,0.004480175212100852,0.019439294181106972,0.000939310451794548
25,0.01509724377351166,0.0640980701864756,0.008361537812679976,0.004717502385158655,0.02371202987476859,0.001200262586015969
